id,title,price,area_m2,rooms,building_age,floor,building_floors,address,station,walk_minutes,property_type,structure,listing_type,created_at
1,札幌中央区1LDKマンション,58000000,45.2,1LDK,5,8,15,北海道札幌市中央区南1条西5丁目,大通駅,5,マンション,RC,売買,2026-04-01
2,札幌北区ファミリー向け3LDK,42000000,72.5,3LDK,12,3,10,北海道札幌市北区北24条西3丁目,北24条駅,7,マンション,RC,売買,2026-04-02
3,札幌白石区賃貸1K,45000,22.0,1K,20,2,5,北海道札幌市白石区南郷通7丁目,南郷7丁目駅,4,アパート,木造,賃貸,2026-04-03
4,札幌豊平区新築2LDK,72000000,60.0,2LDK,0,10,12,北海道札幌市豊平区月寒中央通,月寒中央駅,6,マンション,RC,売買,2026-04-04
5,札幌東区戸建て4LDK,35000000,110.0,4LDK,15,2,2,北海道札幌市東区東苗穂,環状通東駅,15,戸建て,木造,売買,2026-04-05
6,札幌中央区高級タワー2LDK,120000000,75.0,2LDK,3,20,30,北海道札幌市中央区北1条西,さっぽろ駅,3,マンション,SRC,売買,2026-04-06
7,札幌西区賃貸2DK,60000,40.0,2DK,18,1,4,北海道札幌市西区琴似,琴似駅,8,アパート,木造,賃貸,2026-04-07
8,札幌南区自然環境戸建て,28000000,130.0,3LDK,25,2,2,北海道札幌市南区真駒内,真駒内駅,20,戸建て,木造,売買,2026-04-08
9,札幌中央区投資用ワンルーム,32000000,25.0,1R,10,5,12,北海道札幌市中央区南6条西,すすきの駅,4,マンション,RC,売買,2026-04-09
10,札幌厚別区賃貸1LDK,70000,35.0,1LDK,8,4,8,北海道札幌市厚別区大谷地東,大谷地駅,5,マンション,RC,賃貸,2026-04-10
